activity_id,type,assigned_to_user,deal_id,done,due_to
807438,follow_up,637,328852,True,2024-07-24T06:47:10
846825,follow_up,1461,491381,False,2024-04-21T07:41:54
716465,follow_up,1771,987964,True,2024-01-28T21:36:04
516634,follow_up,1125,323926,True,2024-08-10T06:18:08
248450,follow_up,646,564819,True,2024-05-27T02:59:16
138082,sc_2,1247,149934,False,2024-08-01T15:17:27
878455,sc_2,1521,666471,False,2024-03-01T03:19:26
123004,meeting,129,704695,True,2024-08-17T04:27:05
265158,meeting,1770,452173,True,2024-06-26T06:53:18
599029,meeting,1549,326781,True,2024-07-25T15:36:04
410944,meeting,192,585603,False,2024-05-22T14:03:21
987887,meeting,132,546508,False,2024-07-08T21:12:21
553741,after_close_call,256,421779,True,2024-04-01T10:31:20
743384,meeting,263,969748,False,2024-03-17T15:41:43
528857,sc_2,1528,132151,True,2024-06-28T16:06:51
904498,after_close_call,572,548817,True,2024-03-27T18:10:19
356261,after_close_call,1395,948579,True,2024-03-20T21:54:02
947539,sc_2,260,289417,True,2024-02-07T19:13:48
799195,sc_2,1102,838251,True,2024-06-20T07:20:47
585516,follow_up,882,467820,False,2024-01-27T11:41:20
608244,sc_2,1762,659405,False,2024-07-23T14:24:36
355103,after_close_call,394,127381,False,2024-06-17T14:25:02
700830,sc_2,489,756890,True,2024-05-19T01:19:44
950048,follow_up,1715,802465,True,2024-01-14T12:19:06
190890,sc_2,542,135868,False,2024-01-30T10:32:04
945604,sc_2,863,959561,False,2024-01-08T08:52:20
859983,follow_up,915,989097,True,2024-02-07T09:41:07
749129,after_close_call,408,342581,False,2024-02-07T01:04:22
202324,follow_up,507,957357,False,2024-08-15T09:07:44
654270,after_close_call,1072,757743,False,2024-01-16T01:07:38
683116,follow_up,54,246311,False,2024-08-09T15:26:39
615635,follow_up,1144,200899,False,2024-07-10T15:13:31
894835,follow_up,776,944912,True,2024-01-26T18:55:10
885741,meeting,1321,190984,False,2024-03-17T18:49:45
786821,follow_up,102,606641,False,2024-04-26T01:41:26
530211,meeting,1554,238699,True,2024-07-12T19:17:28
199070,meeting,1653,267021,False,2024-04-17T12:45:51
582719,sc_2,274,186073,False,2024-09-01T12:53:23
603800,after_close_call,490,888222,False,2024-02-21T14:24:59
801657,after_close_call,1743,164148,True,2024-04-13T14:58:36
912209,sc_2,1130,949663,False,2024-07-12T22:56:29
619581,after_close_call,950,669655,True,2024-03-08T23:22:19
515812,sc_2,994,535002,True,2024-08-27T19:08:40
620403,follow_up,1335,312531,False,2024-01-07T05:23:59
834305,after_close_call,1057,221661,True,2024-07-03T21:52:13
461612,after_close_call,111,211578,True,2024-05-21T08:55:21
969987,meeting,1230,798025,True,2024-07-20T11:31:25
880200,follow_up,411,511611,True,2024-05-30T04:48:57
853133,sc_2,554,793560,False,2024-07-28T02:58:12
698704,sc_2,1728,723247,False,2024-04-20T16:58:56
703832,sc_2,837,889119,True,2024-05-13T22:46:34
631814,after_close_call,93,875779,False,2024-01-20T08:52:16
276318,follow_up,1191,265925,True,2024-08-16T13:57:28
157950,after_close_call,1712,529207,False,2024-04-29T11:52:43
308567,follow_up,793,193564,True,2024-02-18T20:29:01
387944,follow_up,42,894465,True,2024-09-10T23:41:47
691095,sc_2,99,583199,False,2024-05-26T19:18:13
830204,follow_up,615,746382,True,2024-03-29T14:44:03
432825,meeting,1304,471137,True,2024-04-07T02:09:17
264641,sc_2,488,606617,True,2024-04-26T06:03:44
930938,sc_2,615,692622,True,2024-03-05T09:47:52
256655,meeting,682,628425,False,2024-03-11T03:39:06
287473,sc_2,1381,299266,False,2024-02-17T05:54:41
388320,follow_up,451,869645,True,2024-05-24T07:31:42
984966,follow_up,86,710800,False,2024-03-20T01:31:39
110002,after_close_call,1743,558366,False,2024-05-12T06:21:28
340065,sc_2,242,102114,True,2024-06-25T21:19:26
449616,sc_2,1314,747601,False,2024-01-30T16:06:24
313744,after_close_call,1444,913255,True,2024-04-08T01:48:05
494322,after_close_call,1040,325102,False,2024-02-04T15:29:55
917520,after_close_call,1274,515418,False,2024-06-08T03:55:59
521731,follow_up,918,762400,False,2024-07-07T08:43:33
636079,after_close_call,314,961603,True,2024-08-11T15:11:44
185879,follow_up,684,505398,True,2024-01-25T07:48:35
796191,sc_2,895,746627,True,2024-08-11T03:25:38
593538,follow_up,1231,848128,False,2024-07-31T09:17:32
474751,after_close_call,899,337755,True,2024-02-02T03:34:02
636805,sc_2,1266,675473,False,2024-09-13T23:15:20
974461,follow_up,349,768869,False,2024-02-25T00:26:36
485276,follow_up,1019,927040,True,2024-03-24T14:17:32
630504,after_close_call,1078,471019,True,2024-06-07T13:39:02
326511,after_close_call,1626,306623,True,2024-01-18T12:03:26
131678,after_close_call,240,925619,False,2024-03-16T00:42:19
606510,sc_2,668,585495,True,2024-08-08T04:42:23
602934,follow_up,131,315675,False,2024-04-06T16:01:11
413452,meeting,874,893369,True,2024-05-10T02:42:00
517904,sc_2,578,956122,True,2024-04-02T07:45:02
605557,after_close_call,1629,308393,False,2024-04-27T20:32:16
841948,follow_up,82,977622,True,2024-08-05T02:07:15
926968,sc_2,634,418359,True,2024-01-31T18:09:04
570619,sc_2,312,512930,True,2024-05-07T16:49:49
112746,after_close_call,171,379800,True,2024-03-01T02:43:12
494138,after_close_call,1588,961972,False,2024-01-25T18:24:36
652459,after_close_call,1275,131805,False,2024-01-27T11:25:30
807126,follow_up,1392,163384,False,2024-03-18T03:05:04
894980,sc_2,259,662135,True,2024-04-02T07:44:30
276999,sc_2,1675,339883,True,2024-01-10T11:03:38
791277,meeting,1384,515383,False,2024-05-15T09:00:50
977679,sc_2,1479,119110,False,2024-03-12T02:57:18
288576,after_close_call,270,476678,True,2024-05-26T12:57:00
