deal_id,change_time,changed_field_key,new_value
881836,2024-04-09 21:32:09,add_time,2024-04-09T21:32:09
881836,2024-04-12 21:32:09,user_id,1463
881836,2024-04-17 21:32:09,user_id,1728
881836,2024-04-20 21:32:09,stage_id,1
881836,2024-05-02 21:32:09,stage_id,2
881836,2024-05-21 21:32:09,stage_id,3
881836,2024-06-06 21:32:09,stage_id,4
881836,2024-06-18 21:32:09,stage_id,6
881836,2024-07-16 21:32:09,lost_reason,5
709537,2024-08-31 12:15:23,add_time,2024-08-31T12:15:23
709537,2024-09-26 12:15:23,user_id,748
709537,2024-10-12 12:15:23,user_id,1574
709537,2024-11-05 12:15:23,stage_id,1
709537,2024-11-28 12:15:23,stage_id,2
709537,2024-12-23 12:15:23,stage_id,3
709537,2025-01-16 12:15:23,stage_id,5
709537,2025-02-06 12:15:23,stage_id,7
709537,2025-02-08 12:15:23,lost_reason,1
148488,2024-08-27 19:52:57,add_time,2024-08-27T19:52:57
148488,2024-09-18 19:52:57,user_id,1679
148488,2024-10-10 19:52:57,stage_id,1
148488,2024-10-26 19:52:57,stage_id,2
148488,2024-11-15 19:52:57,stage_id,4
148488,2024-11-25 19:52:57,stage_id,5
148488,2024-12-03 19:52:57,stage_id,6
148488,2024-12-05 19:52:57,stage_id,9
148488,2024-12-07 19:52:57,lost_reason,3
218615,2024-05-28 04:32:53,add_time,2024-05-28T04:32:53
218615,2024-06-08 04:32:53,user_id,1382
218615,2024-07-05 04:32:53,user_id,1010
218615,2024-07-09 04:32:53,stage_id,1
218615,2024-07-26 04:32:53,stage_id,2
218615,2024-08-09 04:32:53,lost_reason,5
203473,2024-04-16 23:58:58,add_time,2024-04-16T23:58:58
203473,2024-04-25 23:58:58,user_id,1734
203473,2024-04-28 23:58:58,stage_id,1
203473,2024-05-20 23:58:58,stage_id,2
203473,2024-06-02 23:58:58,stage_id,4
203473,2024-06-23 23:58:58,stage_id,8
203473,2024-07-04 23:58:58,lost_reason,1
688404,2024-03-03 01:21:55,add_time,2024-03-03T01:21:55
688404,2024-03-23 01:21:55,user_id,1289
688404,2024-04-16 01:21:55,stage_id,1
688404,2024-04-22 01:21:55,stage_id,2
688404,2024-05-06 01:21:55,stage_id,5
688404,2024-05-31 01:21:55,stage_id,6
688404,2024-06-24 01:21:55,stage_id,8
688404,2024-06-26 01:21:55,lost_reason,3
929967,2024-02-20 00:16:07,add_time,2024-02-20T00:16:07
929967,2024-03-10 00:16:07,user_id,1025
929967,2024-03-21 00:16:07,stage_id,1
929967,2024-04-20 00:16:07,stage_id,4
929967,2024-04-22 00:16:07,stage_id,9
929967,2024-05-11 00:16:07,lost_reason,2
646214,2024-08-03 00:07:17,add_time,2024-08-03T00:07:17
646214,2024-08-17 00:07:17,user_id,1655
646214,2024-08-22 00:07:17,stage_id,1
646214,2024-09-18 00:07:17,stage_id,2
646214,2024-10-10 00:07:17,stage_id,3
646214,2024-10-18 00:07:17,stage_id,4
646214,2024-11-12 00:07:17,stage_id,8
646214,2024-12-10 00:07:17,lost_reason,4
108447,2024-09-04 09:29:07,add_time,2024-09-04T09:29:07
108447,2024-09-11 09:29:07,user_id,279
108447,2024-09-18 09:29:07,stage_id,1
108447,2024-10-18 09:29:07,stage_id,2
108447,2024-10-23 09:29:07,stage_id,3
108447,2024-11-04 09:29:07,stage_id,4
108447,2024-11-11 09:29:07,stage_id,6
108447,2024-11-30 09:29:07,stage_id,8
108447,2024-12-01 09:29:07,lost_reason,5
189240,2024-02-02 10:48:55,add_time,2024-02-02T10:48:55
189240,2024-02-06 10:48:55,user_id,10
189240,2024-03-01 10:48:55,stage_id,1
189240,2024-03-27 10:48:55,stage_id,2
189240,2024-04-08 10:48:55,stage_id,3
189240,2024-04-21 10:48:55,stage_id,4
189240,2024-04-26 10:48:55,stage_id,6
189240,2024-05-15 10:48:55,lost_reason,1
959858,2024-02-01 17:44:05,add_time,2024-02-01T17:44:05
959858,2024-03-01 17:44:05,user_id,1562
959858,2024-03-08 17:44:05,user_id,1773
959858,2024-04-05 17:44:05,stage_id,1
959858,2024-05-05 17:44:05,stage_id,2
959858,2024-05-13 17:44:05,stage_id,5
959858,2024-05-21 17:44:05,lost_reason,5
338138,2024-09-11 13:40:45,add_time,2024-09-11T13:40:45
338138,2024-09-23 13:40:45,user_id,1455
338138,2024-10-19 13:40:45,stage_id,1
338138,2024-11-06 13:40:45,stage_id,2
338138,2024-11-23 13:40:45,stage_id,4
338138,2024-12-01 13:40:45,stage_id,5
338138,2024-12-27 13:40:45,stage_id,7
338138,2025-01-08 13:40:45,lost_reason,4
575152,2024-06-07 06:26:50,add_time,2024-06-07T06:26:50
575152,2024-06-27 06:26:50,user_id,1307
575152,2024-07-11 06:26:50,stage_id,1
575152,2024-07-14 06:26:50,stage_id,2
575152,2024-07-23 06:26:50,stage_id,3
575152,2024-07-26 06:26:50,stage_id,4
575152,2024-08-22 06:26:50,lost_reason,2
324350,2024-09-07 10:33:20,add_time,2024-09-07T10:33:20
324350,2024-09-16 10:33:20,user_id,1093
324350,2024-10-11 10:33:20,stage_id,1
324350,2024-11-01 10:33:20,stage_id,2
324350,2024-11-29 10:33:20,stage_id,3
324350,2024-12-28 10:33:20,stage_id,4
324350,2025-01-19 10:33:20,stage_id,7
324350,2025-02-09 10:33:20,lost_reason,2
713851,2024-06-20 23:49:12,add_time,2024-06-20T23:49:12
713851,2024-06-27 23:49:12,user_id,1525
713851,2024-07-20 23:49:12,stage_id,1
713851,2024-08-10 23:49:12,stage_id,2
713851,2024-09-08 23:49:12,stage_id,3
713851,2024-09-22 23:49:12,stage_id,5
713851,2024-10-07 23:49:12,stage_id,6
713851,2024-10-28 23:49:12,stage_id,9
713851,2024-11-05 23:49:12,lost_reason,1
409005,2024-07-01 10:21:05,add_time,2024-07-01T10:21:05
409005,2024-07-03 10:21:05,user_id,1699
409005,2024-07-06 10:21:05,stage_id,1
409005,2024-07-17 10:21:05,lost_reason,4
623040,2024-04-18 06:48:58,add_time,2024-04-18T06:48:58
623040,2024-05-03 06:48:58,user_id,221
623040,2024-05-10 06:48:58,stage_id,1
623040,2024-06-03 06:48:58,stage_id,5
623040,2024-06-23 06:48:58,stage_id,8
623040,2024-07-16 06:48:58,lost_reason,1
673515,2024-02-07 19:37:07,add_time,2024-02-07T19:37:07
673515,2024-02-10 19:37:07,user_id,1153
673515,2024-02-26 19:37:07,stage_id,1
673515,2024-03-05 19:37:07,stage_id,4
673515,2024-03-26 19:37:07,stage_id,5
673515,2024-04-20 19:37:07,stage_id,6
673515,2024-05-18 19:37:07,lost_reason,5
943003,2024-06-20 14:37:49,add_time,2024-06-20T14:37:49
943003,2024-06-29 14:37:49,user_id,1047
943003,2024-07-16 14:37:49,stage_id,1
943003,2024-07-19 14:37:49,stage_id,2
943003,2024-08-07 14:37:49,stage_id,3
943003,2024-09-06 14:37:49,stage_id,4
943003,2024-09-07 14:37:49,stage_id,5
943003,2024-09-30 14:37:49,stage_id,6
943003,2024-10-14 14:37:49,lost_reason,5
116511,2024-08-06 23:19:51,add_time,2024-08-06T23:19:51
116511,2024-08-09 23:19:51,user_id,1275
116511,2024-09-01 23:19:51,user_id,1351
116511,2024-09-04 23:19:51,stage_id,1
116511,2024-09-18 23:19:51,stage_id,2
116511,2024-09-19 23:19:51,stage_id,3
116511,2024-10-13 23:19:51,stage_id,4
116511,2024-10-27 23:19:51,stage_id,5
116511,2024-11-05 23:19:51,lost_reason,3
807384,2024-03-27 21:16:26,add_time,2024-03-27T21:16:26
807384,2024-04-10 21:16:26,user_id,304
807384,2024-05-10 21:16:26,stage_id,1
807384,2024-06-05 21:16:26,stage_id,2
807384,2024-07-05 21:16:26,stage_id,3
807384,2024-07-11 21:16:26,stage_id,5
807384,2024-07-23 21:16:26,lost_reason,1
494931,2024-01-22 09:07:37,add_time,2024-01-22T09:07:37
494931,2024-02-12 09:07:37,user_id,555
494931,2024-02-15 09:07:37,user_id,1699
494931,2024-02-21 09:07:37,stage_id,1
494931,2024-03-22 09:07:37,stage_id,2
494931,2024-03-27 09:07:37,stage_id,5
494931,2024-04-24 09:07:37,lost_reason,4
744319,2024-04-10 13:59:14,add_time,2024-04-10T13:59:14
744319,2024-05-02 13:59:14,user_id,1437
744319,2024-05-13 13:59:14,stage_id,1
744319,2024-05-25 13:59:14,stage_id,2
744319,2024-06-15 13:59:14,stage_id,3
744319,2024-06-18 13:59:14,stage_id,4
744319,2024-07-11 13:59:14,stage_id,6
744319,2024-07-20 13:59:14,stage_id,7
744319,2024-07-27 13:59:14,stage_id,8
744319,2024-08-21 13:59:14,lost_reason,4
472335,2024-06-04 08:22:57,add_time,2024-06-04T08:22:57
472335,2024-06-28 08:22:57,user_id,882
472335,2024-06-30 08:22:57,stage_id,1
472335,2024-07-08 08:22:57,stage_id,2
472335,2024-08-02 08:22:57,stage_id,4
472335,2024-08-19 08:22:57,stage_id,6
472335,2024-09-13 08:22:57,stage_id,8
472335,2024-09-14 08:22:57,lost_reason,4
644696,2024-04-21 01:39:26,add_time,2024-04-21T01:39:26
644696,2024-05-15 01:39:26,user_id,1285
644696,2024-05-27 01:39:26,stage_id,1
644696,2024-06-14 01:39:26,stage_id,2
644696,2024-06-19 01:39:26,stage_id,4
644696,2024-07-17 01:39:26,stage_id,5
644696,2024-07-25 01:39:26,stage_id,7
644696,2024-08-09 01:39:26,lost_reason,3
652579,2024-01-27 03:22:55,add_time,2024-01-27T03:22:55
652579,2024-02-26 03:22:55,user_id,443
652579,2024-03-22 03:22:55,stage_id,1
652579,2024-04-07 03:22:55,stage_id,2
652579,2024-05-02 03:22:55,stage_id,5
652579,2024-05-10 03:22:55,stage_id,6
652579,2024-05-23 03:22:55,stage_id,9
652579,2024-06-18 03:22:55,lost_reason,3
536166,2024-08-06 21:30:16,add_time,2024-08-06T21:30:16
536166,2024-08-23 21:30:16,user_id,1307
536166,2024-09-01 21:30:16,stage_id,1
536166,2024-09-27 21:30:16,stage_id,6
536166,2024-10-23 21:30:16,stage_id,8
536166,2024-11-10 21:30:16,lost_reason,2
674354,2024-01-18 13:39:31,add_time,2024-01-18T13:39:31
674354,2024-02-05 13:39:31,user_id,50
674354,2024-03-06 13:39:31,stage_id,1
674354,2024-03-16 13:39:31,stage_id,5
674354,2024-03-22 13:39:31,lost_reason,2
997191,2024-01-20 07:57:04,add_time,2024-01-20T07:57:04
997191,2024-02-05 07:57:04,user_id,710
997191,2024-03-04 07:57:04,stage_id,1
997191,2024-03-11 07:57:04,stage_id,2
997191,2024-03-30 07:57:04,stage_id,3
997191,2024-04-11 07:57:04,stage_id,5
997191,2024-04-20 07:57:04,lost_reason,3
254225,2024-07-18 04:05:27,add_time,2024-07-18T04:05:27
254225,2024-07-20 04:05:27,user_id,186
254225,2024-07-30 04:05:27,stage_id,1
254225,2024-08-27 04:05:27,stage_id,2
254225,2024-09-04 04:05:27,stage_id,3
254225,2024-09-16 04:05:27,stage_id,4
254225,2024-10-13 04:05:27,stage_id,7
254225,2024-10-18 04:05:27,lost_reason,2
219339,2024-04-30 10:46:39,add_time,2024-04-30T10:46:39
219339,2024-05-20 10:46:39,user_id,467
219339,2024-06-04 10:46:39,stage_id,1
219339,2024-06-16 10:46:39,stage_id,3
219339,2024-06-29 10:46:39,stage_id,4
219339,2024-07-14 10:46:39,stage_id,6
219339,2024-07-25 10:46:39,lost_reason,4
610179,2024-03-09 03:06:13,add_time,2024-03-09T03:06:13
610179,2024-03-12 03:06:13,user_id,1316
610179,2024-04-01 03:06:13,stage_id,1
610179,2024-04-19 03:06:13,stage_id,2
610179,2024-04-25 03:06:13,stage_id,3
610179,2024-05-09 03:06:13,stage_id,4
610179,2024-05-12 03:06:13,stage_id,5
610179,2024-06-07 03:06:13,stage_id,6
610179,2024-07-04 03:06:13,lost_reason,1
407072,2024-07-31 19:49:25,add_time,2024-07-31T19:49:25
407072,2024-08-28 19:49:25,user_id,1681
407072,2024-09-22 19:49:25,user_id,1001
407072,2024-10-11 19:49:25,stage_id,1
407072,2024-11-10 19:49:25,stage_id,2
407072,2024-11-27 19:49:25,stage_id,3
407072,2024-12-27 19:49:25,stage_id,4
407072,2024-12-29 19:49:25,stage_id,5
407072,2025-01-26 19:49:25,stage_id,6
407072,2025-02-02 19:49:25,lost_reason,2
650545,2024-01-08 12:11:07,add_time,2024-01-08T12:11:07
650545,2024-02-03 12:11:07,user_id,782
650545,2024-02-14 12:11:07,user_id,1251
650545,2024-02-27 12:11:07,stage_id,1
650545,2024-03-07 12:11:07,stage_id,2
650545,2024-03-18 12:11:07,stage_id,3
650545,2024-04-04 12:11:07,stage_id,4
650545,2024-04-18 12:11:07,stage_id,5
650545,2024-04-28 12:11:07,stage_id,7
650545,2024-05-25 12:11:07,lost_reason,3
874328,2024-05-02 16:47:44,add_time,2024-05-02T16:47:44
874328,2024-05-17 16:47:44,user_id,387
874328,2024-05-26 16:47:44,stage_id,1
